Year,Per Capita,New York City Population,NYC Consumption
1979-1980,213,7102100-7071639,1512-1506
1979-1980,213,7102100-7071639,1512-1506
1980-1981,213,7071639-7089241,1506-1309
1980-1981,185,7071639-7089241,1506-1309
1981-1982,185,7089241-7109105,1309-1382
1981-1982,194,7089241-7109105,1309-1382
1982-1983,194,7109105-7181224,1382-1424
1982-1983,198,7109105-7181224,1382-1424
1983-1984,198,7181224-7234514,1424-1465
1983-1984,203,7181224-7234514,1424-1465
1984-1985,203,7234514-7274054,1465-1326
1984-1985,182,7234514-7274054,1465-1326
1985-1986,182,7274054-7319246,1326-1351
1985-1986,185,7274054-7319246,1326-1351
1986-1987,185,7319246-7342476,1351-1447
1986-1987,197,7319246-7342476,1351-1447
1987-1988,197,7342476-7353719,1447-1484
1987-1988,202,7342476-7353719,1447-1484
1988-1989,202,7353719-7344175,1484-1402
1988-1989,191,7353719-7344175,1484-1402
1989-1990,191,7344175-7335650,1402-1424
1989-1990,194,7344175-7335650,1402-1424
1990-1991,194,7335650-7374501,1424-1469
1990-1991,199,7335650-7374501,1424-1469
1991-1992,199,7374501-7428944,1469-1369
1991-1992,184,7374501-7428944,1469-1369
1992-1993,184,7428944-7506166,1369-1368.5
1992-1993,182,7428944-7506166,1369-1368.5
1993-1994,182,7506166-7570458,1368.5-1357.7
1993-1994,179,7506166-7570458,1368.5-1357.7
1994-1995,179,7570458-7633040,1357.7-1325.7
1994-1995,174,7570458-7633040,1357.7-1325.7
1995-1996,174,7633040-7697812,1325.7-1297.9
1995-1996,169,7633040-7697812,1325.7-1297.9
1996-1997,169,7697812-7773443,1297.9-1205.5
1996-1997,155,7697812-7773443,1297.9-1205.5
1997-1998,155,7773443-7858259,1205.5-1219.5
1997-1998,155,7773443-7858259,1205.5-1219.5
1998-1999,155,7858259-7947660,1219.5-1237.2
1998-1999,156,7858259-7947660,1219.5-1237.2
1999-2000,156,7947660-8008278,1237.2-1240.4
1999-2000,155,7947660-8008278,1237.2-1240.4
2000-2001,155,8008278-8024963.5,1240.4-1184
2000-2001,148,8008278-8024963.5,1240.4-1184
2001-2002,148,8024963.5-8041649,1184-1135.6
2001-2002,141,8024963.5-8041649,1184-1135.6
2002-2003,141,8041649-8058334.5,1135.6-1093.7
2002-2003,136,8041649-8058334.5,1135.6-1093.7
2003-2004,136,8058334.5-8075020,1093.7-1099.5
2003-2004,136,8058334.5-8075020,1093.7-1099.5
2004-2005,136,8075020-8091705.5,1099.5-1138
2004-2005,141,8075020-8091705.5,1099.5-1138
2005-2006,141,8091705.5-8108391,1138-1069
2005-2006,132,8091705.5-8108391,1138-1069
2006-2007,132,8108391-8125076.5,1069-1114
2006-2007,137,8108391-8125076.5,1069-1114
2007-2008,137,8125076.5-8141762,1114-1098
2007-2008,135,8125076.5-8141762,1114-1098
2008-2009,135,8141762-8158447.5,1098-1007.5
2008-2009,123,8141762-8158447.5,1098-1007.5
2009-2010,123,8158447.5-8175133,1007.5-1039
2009-2010,127,8158447.5-8175133,1007.5-1039
2010-2011,127,8175133-8337995,1039-1021
2010-2011,122,8175133-8337995,1039-1021
2011-2012,122,8337995-8463949,1021-1009.14
2011-2012,119,8337995-8463949,1021-1009.14
2012-2013,119,8463949-8565546,1009.14-1006.1
2012-2013,117,8463949-8565546,1009.14-1006.1
2013-2014,117,8565546-8655309,1006.1-996
2013-2014,115,8565546-8655309,1006.1-996
2014-2015,115,8655309-8736703,996-1009
2014-2015,115,8655309-8736703,996-1009
2015-2016,115,8736703-8794605,1009-1002
2015-2016,114,8736703-8794605,1009-1002
2016-2017,114,8794605-8815448,1002-990.2
2016-2017,112,8794605-8815448,1002-990.2
2017-2018,112,8815448-8826472,990.2-1008
2017-2018,114,8815448-8826472,990.2-1008
2018-2019,114,8826472-8824887,1008-987.4
2018-2019,112,8826472-8824887,1008-987.4
2019-2020,112,8824887-8804190,987.4-981
2019-2020,111,8824887-8804190,987.4-981
2020-2021,111,8804190-8467513,981-979
2020-2021,116,8804190-8467513,981-979